function,file,line,status,markers,bucket,score,caller_count,callee_count,role,readiness
SoundEffect,GAME/EFFECTS.C,625,decompiled,none,P1,11749,75,7,pivot,pivot-proof-needed
SoundEffect,GAME/EFFECTS.C,633,decompiled,none,P1,11749,75,7,pivot,pivot-proof-needed
SoundEffect,GAME/EFFECTS.C,891,decompiled,none,P1,11749,75,7,pivot,pivot-proof-needed
ControlSmokeEmitter,GAME/EFFECT2.C,51,decompiled,none,P1,3859,0,5,related-effect,candidate-proof-needed
ControlEnemyMissile,GAME/EFFECT2.C,46,decompiled,none,P1,3570,0,14,related-effect,candidate-proof-needed
TriggerWaterfallMist,GAME/EFFECT2.C,71,decompiled,none,P1,2318,1,2,related-effect,candidate-proof-needed
TriggerDartSmoke,GAME/EFFECT2.C,66,decompiled,none,P1,2150,2,2,related-effect,candidate-proof-needed
SOUND_Init,GAME/SOUND.C,37,debugged,D;F;ND,P0,1914,1,0,platform-wrapper,nd-audit-needed
ResetTest,GAME/EFFECTS.C,324,decompiled,none,P2,1717,0,3,related-effect,candidate-proof-needed
S_SoundSampleIsPlaying,SPEC_PSXPC_N/SFX.C,184,decompiled,none,P2,1472,2,2,platform-wrapper,candidate-proof-needed
S_SoundStopSample,SPEC_PSXPC/SFX.C,91,decompiled,none,P2,1399,3,3,platform-wrapper,candidate-proof-needed
PlaySample,SPEC_PSXPC_N/SFX.C,164,decompiled,none,P2,1388,2,2,platform-wrapper,candidate-proof-needed
S_SoundSampleIsPlaying,SPEC_PSXPC/SFX.C,116,decompiled,none,P2,1252,2,2,platform-wrapper,candidate-proof-needed
S_SoundStopAllSamples,SPEC_PSXPC/SFX.C,106,decompiled,none,P2,1206,3,0,platform-wrapper,candidate-proof-needed
S_SoundSetPitch,SPEC_PSXPC/SFX.C,137,decompiled,none,P2,1009,1,1,platform-wrapper,candidate-proof-needed
S_SoundPlaySample,SPEC_PSXPC_N/SFX.C,205,decompiled,none,P2,50,0,0,platform-wrapper,candidate-proof-needed
SPU_Play,SPEC_PSXPC/SFX.C,8,decompiled,none,P2,-170,0,0,platform-wrapper,candidate-proof-needed
SPU_Status,SPEC_PSXPC/SFX.C,50,decompiled,none,P2,-170,0,0,platform-wrapper,candidate-proof-needed
S_SoundSetPanAndVolume,SPEC_PSXPC/SFX.C,147,decompiled,none,P2,-170,0,0,platform-wrapper,candidate-proof-needed
