function,file,line,status,markers,bucket,score,caller_count,callee_count,runtime_focus,nd,subcluster,role,readiness,code_change_ready,marker_ready,blocker,next_probe
DoTitle,GAME/GAMEFLOW.C,931,debugged,D;F;ND,P0,4506,0,24,yes,yes,title-and-control-phase,pivot-nd-marker-target,proof-first-audit-needed,no,no,"top gameflow runtime candidate and ND marker target, but behavior/equivalence proof is not established",RE-078 gameflow runtime caller and side-effect map
LaraControl,GAME/LARAMISC.C,163,decompiled,none,P1,3895,1,13,no,no,lara-runtime-control,control-support,backlog-candidate-proof-needed,no,no,useful runtime support row but not selected as first proof subcluster,defer until title/control-phase proof gate closes
QuickControlPhase,GAME/GAMEFLOW.C,783,debugged,D;F;ND,P0,2836,2,2,yes,yes,title-and-control-phase,nd-marker-target,nd-marker-proof-needed,no,no,ND marker needs behavior proof before marker removal or upgrade,include in RE-078/RE-079 runtime proof map
DoGameflow,GAME/GAMEFLOW.C,155,decompiled,none,P0,2470,1,2,yes,no,title-and-control-phase,runtime-context,cluster-support-proof-needed,no,no,title/control-phase flow needs state/caller/equivalence proof,include in RE-078 caller/side-effect map
FlameTorchControl,GAME/FLMTORCH.C,30,decompiled,none,P1,2272,0,8,no,no,object-runtime-control,control-support,backlog-candidate-proof-needed,no,no,useful runtime support row but not selected as first proof subcluster,defer until title/control-phase proof gate closes
andrea2_control,GAME/DELTAPAK.C,1891,decompiled,none,P1,2210,0,10,no,no,scripted-runtime-control,control-support,backlog-candidate-proof-needed,no,no,useful runtime support row but not selected as first proof subcluster,defer until title/control-phase proof gate closes
SearchObjectControl,GAME/PICKUP.C,175,decompiled,none,P1,2122,0,6,no,no,object-runtime-control,control-support,backlog-candidate-proof-needed,no,no,useful runtime support row but not selected as first proof subcluster,defer until title/control-phase proof gate closes
ControlElectricalLight,GAME/OBJLIGHT.C,104,decompiled,none,P1,1856,0,4,no,no,object-runtime-control,control-support,backlog-candidate-proof-needed,no,no,useful runtime support row but not selected as first proof subcluster,defer until title/control-phase proof gate closes
FlareControl,GAME/LARAFLAR.C,25,decompiled,none,P1,1825,0,3,no,no,object-runtime-control,control-support,backlog-candidate-proof-needed,no,no,useful runtime support row but not selected as first proof subcluster,defer until title/control-phase proof gate closes
ControlStrobeLight,GAME/OBJLIGHT.C,22,decompiled,none,P2,1521,0,3,no,no,object-runtime-control,control-support,backlog-candidate-proof-needed,no,no,useful runtime support row but not selected as first proof subcluster,defer until title/control-phase proof gate closes
special3_control,GAME/DELTAPAK.C,2606,decompiled,none,P2,1148,0,0,no,no,scripted-runtime-control,control-support,backlog-candidate-proof-needed,no,no,useful runtime support row but not selected as first proof subcluster,defer until title/control-phase proof gate closes
ResetGuards,GAME/CONTROL.C,2065,decompiled,none,P2,100,0,0,no,no,runtime-support-mixed,supporting-candidate,backlog-candidate-proof-needed,no,no,useful runtime support row but not selected as first proof subcluster,defer until title/control-phase proof gate closes
