rank,candidate_id,caller_symbol,source_module,source_file,definition_line,end_line,source_backed_callsite_count,function_status,candidate_level_proof,ready_to_reopen_domain,source_patch_authorized,blocker_class
1,87d9c8a62335,CalculateCamera,GAME,GAME/CAMERA.C,1167,1594,20,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
2,87d9c8a62335,UpdateCameraElevation,GAME,GAME/CAMERA.C,1948,1977,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
3,87d9c8a62335,TestForObjectOnLedge,GAME,GAME/COLLIDE.C,48,76,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
4,87d9c8a62335,TriggerLaraBlood,GAME,GAME/COLLIDE.C,78,97,7,source-with-calls,no,no,no,callsite-map-not-yet-gated
5,87d9c8a62335,CutLaraBubbles,GAME,GAME/DELTAPAK.C,652,677,6,source-with-calls,no,no,no,callsite-map-not-yet-gated
6,87d9c8a62335,cossack_control,GAME,GAME/DELTAPAK.C,1102,1174,12,source-with-calls,no,no,no,callsite-map-not-yet-gated
7,87d9c8a62335,joby8_control,GAME,GAME/DELTAPAK.C,1256,1381,29,source-with-calls,no,no,no,callsite-map-not-yet-gated
8,87d9c8a62335,trigger_weapon_dynamics,GAME,GAME/DELTAPAK.C,3397,3411,8,source-with-calls,no,no,no,callsite-map-not-yet-gated
9,87d9c8a62335,DoFlameTorch,GAME,GAME/FLMTORCH.C,54,57,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
10,87d9c8a62335,SetLaraUnderwaterNodes,GAME,GAME/LARA.C,6695,6753,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
11,87d9c8a62335,lara_as_trfall,GAME,GAME/LARA.C,385,460,2,source-with-calls,no,no,no,callsite-map-not-yet-gated
12,87d9c8a62335,FireShotgun,GAME,GAME/LARA1GUN.C,332,433,9,source-with-calls,no,no,no,callsite-map-not-yet-gated
13,87d9c8a62335,FireWeapon,GAME,GAME/LARAFIRE.C,185,189,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
14,87d9c8a62335,LaraTargetInfo,GAME,GAME/LARAFIRE.C,206,209,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
15,87d9c8a62335,CreateFlare,GAME,GAME/LARAFLAR.C,133,136,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
16,87d9c8a62335,DoFlareInHand,GAME,GAME/LARAFLAR.C,143,172,3,source-with-calls,no,no,no,callsite-map-not-yet-gated
17,87d9c8a62335,ControlExplosion,GAME,GAME/TRAPS.C,654,658,1,stub-unimplemented,no,no,no,callsite-map-not-yet-gated
18,87d9c8a62335,FlameControl,GAME,GAME/TRAPS.C,383,445,11,source-with-calls,no,no,no,callsite-map-not-yet-gated
